continent,location,population,population_density,median_age,aged_65_older,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,life_expectancy,human_development_index,Case Week,new_tests,new_cases,new_deaths,total_tests,total_cases,total_deaths,Vaccines,Vaccine Week,Weekly Vaccines Given,Total People Vaccinated,Total People Fully Vaccinated,Adjusted savings: education expenditure (% of GNI),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (current US$),"Manufacturing, value added (% of GDP)","Services, value added (% of GDP)",pdi_x,idv_x,mas_x,uai_x,ltowvs_x,ivr_x,Region,IncomeGroup,Case Week Max
Africa,Algeria,43851043.0,17.348,29.1,6.211,278.36400000000003,6.73,83.741,76.88,0.748,1.0,0.0,3.0,0.0,0.0,3.0,0.0,,,,,,4.4671956,0.8073287343610729,1381269144.40103,3973.96407191565,23.835561451515797,46.2339010098736,57.0,50.0,47.0,74.5,26.0,32.0,Middle East & North Africa,Lower middle income,51.0
Africa,Algeria,43851043.0,17.348,29.1,6.211,278.36400000000003,6.73,83.741,76.88,0.748,2.0,0.0,17.0,0.0,0.0,20.0,0.0,,,,,,4.4671956,0.8073287343610729,1381269144.40103,3973.96407191565,23.835561451515797,46.2339010098736,57.0,50.0,47.0,74.5,26.0,32.0,Middle East & North Africa,Lower middle income,51.0
Africa,Algeria,43851043.0,17.348,29.1,6.211,278.36400000000003,6.73,83.741,76.88,0.748,3.0,0.0,34.0,4.0,0.0,54.0,4.0,,,,,,4.4671956,0.8073287343610729,1381269144.40103,3973.96407191565,23.835561451515797,46.2339010098736,57.0,50.0,47.0,74.5,26.0,32.0,Middle East & North Africa,Lower middle income,51.0
Africa,Algeria,43851043.0,17.348,29.1,6.211,278.36400000000003,6.73,83.741,76.88,0.748,4.0,0.0,176.0,13.0,0.0,230.0,17.0,,,,,,4.4671956,0.8073287343610729,1381269144.40103,3973.96407191565,23.835561451515797,46.2339010098736,57.0,50.0,47.0,74.5,26.0,32.0,Middle East & North Africa,Lower middle income,51.0
Africa,Algeria,43851043.0,17.348,29.1,6.211,278.36400000000003,6.73,83.741,76.88,0.748,5.0,0.0,354.0,18.0,0.0,584.0,35.0,,,,,,4.4671956,0.8073287343610729,1381269144.40103,3973.96407191565,23.835561451515797,46.2339010098736,57.0,50.0,47.0,74.5,26.0,32.0,Middle East & North Africa,Lower middle income,51.0
Africa,Algeria,43851043.0,17.348,29.1,6.211,278.36400000000003,6.73,83.741,76.88,0.748,6.0,0.0,839.0,138.0,0.0,1423.0,173.0,,,,,,4.4671956,0.8073287343610729,1381269144.40103,3973.96407191565,23.835561451515797,46.2339010098736,57.0,50.0,47.0,74.5,26.0,32.0,Middle East & North Africa,Lower middle income,51.0
Africa,Algeria,43851043.0,17.348,29.1,6.211,278.36400000000003,6.73,83.741,76.88,0.748,7.0,0.0,560.0,140.0,0.0,1983.0,313.0,,,,,,4.4671956,0.8073287343610729,1381269144.40103,3973.96407191565,23.835561451515797,46.2339010098736,57.0,50.0,47.0,74.5,26.0,32.0,Middle East & North Africa,Lower middle income,51.0
Africa,Algeria,43851043.0,17.348,29.1,6.211,278.36400000000003,6.73,83.741,76.88,0.748,8.0,0.0,735.0,71.0,0.0,2718.0,384.0,,,,,,4.4671956,0.8073287343610729,1381269144.40103,3973.96407191565,23.835561451515797,46.2339010098736,57.0,50.0,47.0,74.5,26.0,32.0,Middle East & North Africa,Lower middle income,51.0
Africa,Algeria,43851043.0,17.348,29.1,6.211,278.36400000000003,6.73,83.741,76.88,0.748,9.0,0.0,799.0,48.0,0.0,3517.0,432.0,,,,,,4.4671956,0.8073287343610729,1381269144.40103,3973.96407191565,23.835561451515797,46.2339010098736,57.0,50.0,47.0,74.5,26.0,32.0,Middle East & North Africa,Lower middle income,51.0
Africa,Algeria,43851043.0,17.348,29.1,6.211,278.36400000000003,6.73,83.741,76.88,0.748,10.0,0.0,1131.0,33.0,0.0,4648.0,465.0,,,,,,4.4671956,0.8073287343610729,1381269144.40103,3973.96407191565,23.835561451515797,46.2339010098736,57.0,50.0,47.0,74.5,26.0,32.0,Middle East & North Africa,Lower middle income,51.0
