country,count,mean,std,min,25%,50%,75%,max,Weeks For Analysis
Afghanistan,23.0,2347.8260869565215,9625.008598117405,0.0,0.0,0.0,0.0,45800.0,3.0
Albania,77.0,832.1428571428571,2292.37560481127,0.0,0.0,0.0,61.0,14860.0,11.0
Algeria,22.0,3409.090909090909,15983.35440956679,0.0,0.0,0.0,0.0,74970.0,3.0
Andorra,54.0,161.33333333333334,531.2279828955933,0.0,0.0,0.0,0.0,3449.0,7.0
Angola,20.0,4351.1,12438.442493885006,0.0,0.0,0.0,0.0,42831.0,2.0
Anguilla,44.0,121.54545454545455,367.1870098620271,0.0,0.0,0.0,0.0,1421.0,6.0
Antigua and Barbuda,38.0,695.3684210526316,3919.361706314149,0.0,0.0,0.0,0.0,24164.0,5.0
Argentina,92.0,40694.19565217391,48518.60804269698,0.0,955.5,22237.5,61454.0,196533.0,13.0
Australia,44.0,13580.068181818182,15787.640849724645,0.0,2701.75,8372.0,19380.0,55762.0,6.0
Austria,93.0,16864.225806451614,13612.402061873921,0.0,5625.0,14860.0,24738.0,56644.0,13.0
Azerbaijan,69.0,7397.391304347826,30222.478063042745,0.0,0.0,0.0,0.0,228360.0,9.0
Bahamas,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,98.0,7312.081632653061,41285.89330501724,0.0,0.0,0.0,4376.0,408743.0,14.0
Bangladesh,63.0,84439.3492063492,105299.81986599776,0.0,0.0,0.0,178934.5,398911.0,9.0
Barbados,40.0,1479.975,1154.0916838551389,0.0,489.5,1406.5,2241.75,4350.0,5.0
Belarus,75.0,400.0,2621.7960421219814,0.0,0.0,0.0,0.0,20944.0,10.0
Belgium,92.0,19265.782608695652,17505.523389462964,0.0,4285.75,16031.5,30049.5,72017.0,13.0
Belize,27.0,755.9629629629629,857.8878571809811,0.0,0.0,417.0,1201.5,2511.0,3.0
Bermuda,77.0,490.75324675324674,1159.9094242751091,0.0,0.0,0.0,0.0,4198.0,11.0
Bhutan,5.0,68183.4,39868.61712926597,0.0,66214.0,85949.0,91432.0,97322.0,0.0
Bolivia,61.0,4521.475409836065,11913.963270894308,0.0,0.0,160.0,4864.0,86072.0,8.0
Brazil,74.0,246250.7972972973,207792.85171812368,0.0,78918.25,224704.0,330399.75,1092641.0,10.0
Bulgaria,92.0,4967.521739130435,5582.410841358777,0.0,814.75,3029.0,5793.0,20375.0,13.0
Cambodia,44.0,6730.659090909091,17404.086522187135,0.0,0.0,0.0,7984.5,110464.0,6.0
Canada,107.0,51129.71028037383,50693.831544670415,0.0,15113.0,33237.0,70711.5,216981.0,15.0
